Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Gamble With Your Friends,$4.95,-38%,Very Positive,"Multiplayer, Online Co-Op, Gambling, Co-op, Comedy, Physics, First-Person, Adventure, Exploration, 3D, Atmospheric, Character Customization, Action Roguelike, Simulation, Procedural Generation, Time Management, Resource Management, Action, Sandbox, Card Game","May 1, 2026",TENSTACK
HELLDIVERS™ 2,$59.99,0%,Very Positive,"Online Co-Op, PvE, Third-Person Shooter, Multiplayer, Shooter, Action, Co-op, Sci-fi, Extraction Shooter, Capitalism, Space, Third Person, Comedy, Gore, Great Soundtrack, Violent, Difficult, Psychological Horror, Singleplayer, Open World","Feb 8, 2024",PlayStation Publishing LLC
007 First Light,$69.99,0%,Very Positive,"Singleplayer, Action-Adventure, Action, Stealth, Adventure, Story Rich, Third-Person Shooter, Cinematic, Third Person, 3D, Atmospheric, Exploration, Driving, Shooter, Combat, Controller, Lore-Rich, Immersive Sim, Assassins, Dark","May 26, 2026",IO Interactive A/S
FINAL FANTASY XIV Online,$19.99,0%,Very Positive,"MMORPG, RPG, Character Customization, Massively Multiplayer, Fantasy, JRPG, Open World, Story Rich, Multiplayer, Magic, Online Co-Op, Adventure, Third Person, Co-op, Crafting, Action, Exploration, Atmospheric, Action RPG, Female Protagonist","Feb 18, 2014",Square Enix
Arena Breakout: Infinite,Free To Play,0%,Mostly Positive,"Free to Play, Extraction Shooter, Multiplayer, FPS, Realistic, Gun Customization, Shooter, First-Person, Tactical, Heist, Resource Management, Survival, Tactical RPG, MOBA, Action, War, Sniper, 3D, Noir, Adventure","Sep 15, 2025",Morefun Studios
Granblue Fantasy: Relink,$39.99,0%,Very Positive,"Anime, JRPG, Action RPG, Online Co-Op, Action, Multiplayer, Fantasy, RPG, Female Protagonist, Singleplayer, Third Person, Hack and Slash, Spectacle fighter, 3D, Magic, Controller, Swordplay, PvE, Dragons, Tutorial","Jan 31, 2024","Cygames, Inc."
Cyberpunk 2077,$82.78,0%,Very Positive,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Story Rich, Sci-fi, FPS, Futuristic, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, LGBTQ+","Dec 9, 2020",CD PROJEKT RED
MapleStory,Free To Play,0%,Mostly Negative,"MMORPG, 2D Platformer, Free to Play, Character Customization, Loot, PvE, Side Scroller, Multiplayer, Anime, Cute, Co-op, Multiple Endings, Platformer, Massively Multiplayer, PvP, Third Person, Story Rich, RPG, 2D, Casual","Aug 9, 2012",Nexon America Inc.
Grim Dawn - Fangs of Asterkarn,$17.09,-10%,Very Positive,"Action RPG, Hack and Slash, Loot, Isometric, Dark Fantasy, RPG, Dungeon Crawler, Co-op, Singleplayer, Character Customization, Dark, Multiplayer, Adventure, Fantasy, Action, Atmospheric, Post-apocalyptic, Crafting, Moddable, Choices Matter","Jul 23, 2026",N/A
Call of Duty®: Black Ops II,$792.38,0%,Very Positive,"Multiplayer, Action, FPS, Shooter, Singleplayer, First-Person, Co-op, War, Online Co-Op, Team-Based, Futuristic, Controller, Survival, Tactical, Horror, Great Soundtrack, Sci-fi, Adventure, Massively Multiplayer, Atmospheric","Nov 12, 2012",Activision
